Column Name,Original Value,Imputed/Encoded Value
dropoff_location,"Queens,Broad Channel",179
dropoff_location,"Queens,Cambria Heights",180
dropoff_location,"Queens,College Point",181
dropoff_location,"Queens,Corona",182
dropoff_location,"Queens,Douglaston",183
dropoff_location,"Queens,East Elmhurst",184
dropoff_location,"Queens,East Flushing",185
dropoff_location,"Queens,Elmhurst",186
dropoff_location,"Queens,Elmhurst/Maspeth",187
dropoff_location,"Queens,Far Rockaway",188
dropoff_location,"Queens,Flushing",189
dropoff_location,"Queens,Flushing Meadows-Corona Park",190
dropoff_location,"Queens,Forest Hills",191
dropoff_location,"Queens,Forest Park/Highland Park",192
dropoff_location,"Queens,Fresh Meadows",193
dropoff_location,"Queens,Glen Oaks",194
dropoff_location,"Queens,Glendale",195
dropoff_location,"Queens,Hammels/Arverne",196
dropoff_location,"Queens,Hillcrest/Pomonok",197
dropoff_location,"Queens,Hollis",198
dropoff_location,"Queens,Howard Beach",199
dropoff_location,"Queens,JFK Airport",200
dropoff_location,"Queens,Jackson Heights",201
dropoff_location,"Queens,Jamaica",202
dropoff_location,"Queens,Jamaica Estates",203
dropoff_location,"Queens,Kew Gardens",204
dropoff_location,"Queens,Kew Gardens Hills",205
dropoff_location,"Queens,LaGuardia Airport",206
dropoff_location,"Queens,Laurelton",207
dropoff_location,"Queens,Long Island City/Hunters Point",208
dropoff_location,"Queens,Long Island City/Queens Plaza",209
dropoff_location,"Queens,Maspeth",210
dropoff_location,"Queens,Middle Village",211
dropoff_location,"Queens,Murray Hill-Queens",212
dropoff_location,"Queens,North Corona",213
dropoff_location,"Queens,Oakland Gardens",214
dropoff_location,"Queens,Old Astoria",215
dropoff_location,"Queens,Ozone Park",216
dropoff_location,"Queens,Queens Village",217
dropoff_location,"Queens,Queensboro Hill",218
dropoff_location,"Queens,Queensbridge/Ravenswood",219
dropoff_location,"Queens,Rego Park",220
dropoff_location,"Queens,Richmond Hill",221
dropoff_location,"Queens,Ridgewood",222
dropoff_location,"Queens,Rockaway Park",223
dropoff_location,"Queens,Rosedale",224
dropoff_location,"Queens,Saint Albans",225
dropoff_location,"Queens,Saint Michaels Cemetery/Woodside",226
dropoff_location,"Queens,South Jamaica",227
dropoff_location,"Queens,South Ozone Park",228
dropoff_location,"Queens,Springfield Gardens North",229
dropoff_location,"Queens,Springfield Gardens South",230
dropoff_location,"Queens,Steinway",231
dropoff_location,"Queens,Sunnyside",232
dropoff_location,"Queens,Whitestone",233
dropoff_location,"Queens,Willets Point",234
dropoff_location,"Queens,Woodhaven",235
dropoff_location,"Queens,Woodside",236
dropoff_location,"Staten Island,Arrochar/Fort Wadsworth",237
dropoff_location,"Staten Island,Bloomfield/Emerson Hill",238
dropoff_location,"Staten Island,Charleston/Tottenville",239
dropoff_location,"Staten Island,Great Kills",240
dropoff_location,"Staten Island,Grymes Hill/Clifton",241
dropoff_location,"Staten Island,Heartland Village/Todt Hill",242
dropoff_location,"Staten Island,Mariners Harbor",243
dropoff_location,"Staten Island,New Dorp/Midland Beach",244
dropoff_location,"Staten Island,Oakwood",245
dropoff_location,"Staten Island,Port Richmond",246
dropoff_location,"Staten Island,Saint George/New Brighton",247
dropoff_location,"Staten Island,South Beach/Dongan Hills",248
dropoff_location,"Staten Island,Stapleton",249
dropoff_location,"Staten Island,West Brighton",250
dropoff_location,"Staten Island,Westerleigh",251
dropoff_location,"Unknown,NV",252
dropoff_location,"Unknown,Unknown",253
